Id,SalePrice
1461,127686.441384218
1462,146630.50835054746
1463,181624.89456980728
1464,201027.1696023803
1465,191898.36667715825
1466,173174.43952704113
1467,183100.07069630892
1468,162988.53851575512
1469,205678.6037802111
1470,113303.70737494911
1471,197327.01737217893
1472,99637.46911025827
1473,95773.32133777185
1474,151080.76027842873
1475,111066.29549995522
1476,320492.4572750463
1477,231352.5021269765
1478,277752.55013077706
1479,264661.6008133324
1480,409035.46603382763
1481,307865.528580896
1482,208253.41913444572
1483,179324.34111929673
1484,161308.86589923594
1485,200146.95687023303
1486,199387.87457958248
1487,304955.0797536841
1488,241772.6177778553
1489,180643.13727870435
1490,225448.28088406817
1491,194444.8987874374
1492,97340.41304383885
1493,206340.04545025388
1494,279549.5588005513
1495,279291.713881077
1496,211854.78995595797
1497,172129.30263671852
1498,149287.82917686875
1499,152609.98868911446
1500,143925.1231723379
1501,161309.16894701938
1502,138745.11626538116
1503,282853.3427460349
1504,245153.88793532402
1505,221531.31165002676
1506,194586.0432493286
1507,249895.5491387954
1508,202333.77562835018
1509,165380.8018543266
1510,140628.9501067198
1511,142951.24396848687
1512,177067.36647344838
1513,154554.81637061713
1514,157272.3722477039
1515,218301.6810958253
1516,166680.83165780953
1517,169035.61984507772
1518,131434.9140649667
1519,208647.58093238977
1520,120989.71217486379
1521,124094.08012298103
1522,187351.38673860006
1523,102053.89785831845
1524,127303.86953059894
1525,118760.8397924057
1526,116372.50428632321
1527,104052.95288962385
1528,149150.40004098037
1529,131747.5401418382
1530,206671.0734410258
1531,113287.28793392418
1532,110104.3630543393
1533,146765.12417923953
1534,123438.4913226151
1535,159400.98785639173
1536,114544.9160095643
1537,64463.21186997283
1538,170573.7832686323
1539,208931.131369251
1540,105487.36613373112
1541,151004.84161556046
1542,138894.21983094825
1543,186716.58372862844
1544,91253.80097752508
1545,124243.10083661434
1546,136185.27270718938
1547,138451.2228300991
1548,142535.30347328138
1549,117455.39715030682
1550,120947.82594187831
1551,118595.83899698022
1552,119524.58912314982
1553,147068.86329787853
1554,114503.37497687044
1555,165094.10620904635
1556,86206.7564602515
1557,106767.7508546144
1558,97306.98603724457
1559,82652.3329541668
1560,134531.11029294238
1561,126758.85693046787
1562,124020.44212074707
1563,115452.4416081236
1564,159279.35071689534
1565,141007.7100443582
1566,260484.32074820448
1567,76765.38362955705
1568,211079.07618681813
1569,108755.95848066315
1570,150822.04409767085
1571,127166.9269290886
1572,145126.92831248086
1573,252031.45244886389
1574,116713.94017207551
1575,232649.99836897233
1576,249448.30619145834
1577,185142.41714690818
1578,138220.32268921856
1579,143411.89082466884
1580,204998.6382014975
1581,156860.98761382542
1582,124866.42664567329
1583,302228.3985993433
1584,218920.05003865258
1585,139939.36840850307
1586,69557.60560151465
1587,111322.69146610603
1588,148029.74225870654
1589,107338.04659199632
1590,145104.5467878975
1591,88726.82867219606
1592,125415.7761100512
1593,128572.44956357087
1594,119656.70973151112
1595,100729.92249976749
1596,200181.02541383012
1597,165319.46327485007
1598,218641.6795979325
1599,185317.22717242764
1600,175822.7680285927
1601,63033.08425232625
1602,116161.17451063052
1603,84899.22525478274
1604,246600.09145668687
1605,264456.93035881175
1606,175619.14738029352
1607,177733.41679902698
1608,222873.15388073135
1609,183001.16491583572
1610,152980.20816611935
1611,152943.3797154917
1612,165704.80395351455
1613,168301.4756790258
1614,128796.16572341243
1615,93664.69669543784
1616,75419.47326707387
1617,95514.29408556546
1618,122221.56299931655
1619,143322.81660423675
1620,152688.65676182872
1621,140913.6224511532
1622,136290.5487948756
1623,270146.16111643496
1624,216918.6945484489
1625,119063.39672868056
1626,177070.6780251279
1627,192677.2799036238
1628,277006.65601060557
1629,188232.23099345656
1630,317000.99303186184
1631,217507.97978221107
1632,235925.6124568848
1633,183593.93787522544
1634,192006.6622055388
1635,179085.14243316633
1636,151809.6009521582
1637,202933.6624076931
1638,213501.36373938242
1639,201171.68236625099
1640,280890.42316154577
1641,192160.10911701559
1642,228596.44007288732
1643,222105.49799093368
1644,229979.61564873633
1645,214572.72526905392
1646,166851.3661446238
1647,171222.22766417195
1648,129004.80586830963
1649,141406.67211356314
1650,118752.73964980876
1651,123469.7557088618
1652,102965.28760151823
1653,105429.02091735997
1654,146463.55705127592
1655,134151.6092692331
1656,141947.33622075754
1657,148506.83369021997
1658,145303.3417952277
1659,121514.13098131854
1660,144208.28752792667
1661,414690.4694263196
1662,366733.7141366223
1663,333917.73465827014
1664,469163.0261672367
1665,275423.50660857814
1666,305673.0736921808
1667,334539.4383658034
1668,309370.52463893266
1669,288833.77993748494
1670,318890.91923353286
1671,252518.1433269765
1672,382787.4589530355
1673,280999.3070589089
1674,238614.23116983342
1675,183766.10776006334
1676,189600.36004615805
1677,216479.55146203729
1678,422297.5371361153
1679,324751.6276728829
1680,290192.12005329627
1681,226559.5750644971
1682,283317.83821989613
1683,177023.44329943217
1684,187959.1361788337
1685,171174.96331589925
1686,169052.74602270318
1687,175814.03628314513
1688,192244.48212866762
1689,195814.74682754258
1690,204686.95016388473
1691,192740.58931146094
1692,261766.9197459095
1693,175758.24231398816
